2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-10/11:33:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-10/11:33:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-10/11:33:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-10/11:33:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-10/11:33:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-10/11:33:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-10/11:33:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-10/11:33:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-10/11:33:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-10/12:37:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-10/12:37:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-10/12:37:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-10/12:37:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-10/12:37:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-10/12:37:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-10/12:38:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-10/12:38:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-10/12:38:03		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-10/12:52:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-10/12:52:58		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-10/12:52:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-10/12:52:59		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-10/12:53:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-10/12:53:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-10/12:53:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-10/12:53:05		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-10/12:53:05		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-10/12:53:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-10/12:53:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-10/12:53:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-10/12:53:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-10/12:53:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-10/12:53:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-10/12:54:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-10/12:54:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-10/12:54:02		 wafer_29012020_050617.csv: File Transformed successfully!!
